推數,噓數,文章分數,文章作者,文章名稱,發表時間
3,0,3,KENDO777 (KENDO777),[問卦] 病毒戰有多可怕,Fri Oct  2 13:18:54 2020
46,2,44,ak47box (陽光黃金蛋),[新聞] 高市國小冷氣跳電停機1個月！網讚柯文哲,Wed Oct  7 21:06:33 2020
23,0,23,kimi102240 (kiwibaby),[協尋] 瑞光路一段 民生東路 行車記錄器,Mon Sep 28 19:17:18 2020
6,2,4,voohong (SE Asia Fat Nerd),[問卦] 同事出去烤肉你自己留下來吃肯德基,Fri Oct  2 13:11:32 2020
4,3,1,fawangching (陽光宅叔),[問卦] 退伍超過八年到底會不會被教召？,Wed Oct  7 19:14:19 2020
2,4,-2,s37166117 (ace),[問卦] 嘴唇乾裂怎麼辦,Wed Oct  7 21:05:30 2020
6,1,5,Toyosushij (Toyosushij),[新聞] 「今晚我想來點....」毒蟲異想天開 竟偽,Fri Oct  2 12:01:48 2020
9,3,6,semna (11),[問卦] 台灣人一輩子要看幾遍食神？,Fri Oct  2 15:06:48 2020
42,5,37,kimura0701 (一天要喝3千cc的水),[問卦] 田壘居然還是現役選手？,Wed Oct  7 16:17:49 2020
2,0,2,zoocouple (stillstriving),[問卦] 有沒有彭恰恰個人債務問題的八卦,Wed Oct  7 17:46:29 2020
11,3,8,TZUYIC (Celine-Flying On My Own),[新聞] 何志偉綠中常會提美豬總量管制 莊瑞雄：,Wed Oct  7 20:26:18 2020
3,2,1,chen0625 (不知道要打什麼？),[問卦] 中國現在在想什麼？,Fri Oct  2 13:44:14 2020
1,7,-6,Rimi5566 (布口以欺付里美),[問卦] 101國慶日出生要取什麼名字,Fri Oct  2 12:01:43 2020
26,3,23,skycolor2 (dantuy),[問卦] 志玲姐姐說的雙節合一是哪雙節？,Fri Oct  2 11:27:53 2020
7,3,4,Darvish903 (頭髮捲慘了),[問卦] 為什麼8+9的女人都這麼瘦啊？,Fri Oct  2 15:26:33 2020
3,6,-3,cake10414 (Peter),[新聞] 台南黃金海岸淪垃圾海岸　中國媒體諷：這,Wed Oct  7 21:18:40 2020
47,3,44,ll6a (老成a~),[問卦] 川普打悲情牌會有人買單嗎？,Fri Oct  2 14:34:22 2020
10,3,7,hello456 (好無聊......),[新聞] 「天然木瓜牛奶」論壇約壞 一伸手下秒慘,Fri Oct  2 13:05:09 2020
62,0,62,HappyDiD (開心的動一動),[問卦] 日本章魚燒好吃嗎？,Wed Oct  7 16:58:36 2020
4,4,0,Soodesu (才不給你進勒 甲塞),[問卦] youbike 分不同齒數可行嗎,Wed Oct  7 19:06:22 2020
6,1,5,pl132 (pl132),[新聞]四方安全對話 印度自信滿滿：空軍已經隨,Wed Oct  7 21:10:35 2020
3,1,2,s10130804 (老摳摳一枚),[問卦] 很多人喜歡在火車或高鐵借網路？,Wed Oct  7 20:48:13 2020
7,4,3,DFIGHT (Dknight),[問卦] 要怎麼和自尊心強到不認錯的三寶溝通？,Fri Oct  2 11:59:16 2020
4,2,2,oftisa (oo),[問卦] 川普挺台應該幫台灣收購 FIAT-克萊斯勒,Fri Oct  2 14:06:25 2020
13,6,7,febula (febula),[問卦] 如果戰爭的話，你（個人）會投降嗎？,Wed Oct  7 19:37:49 2020
2,2,0,Holmes7 (El Mundo),[問卦] 教主有抽到魔關羽了嗎？,Fri Oct  2 14:33:26 2020
